Mes;Provincia;Municipio;Habitantes2021;Paro.Agricultura;Paro.Industria;Paro.Construcción;Paro.Servicios;ParoTotal;ParoMayoritario;Porcentaje_Paro_Municipio
1;Alicante/Alacant;Adsubia;609;2;3;3;22;32;Servicios;5,25
2;Alicante/Alacant;Adsubia;609;2;3;3;29;39;Servicios;6,4
3;Alicante/Alacant;Adsubia;609;2;3;3;24;34;Servicios;5,58
4;Alicante/Alacant;Adsubia;609;3;5;3;24;37;Servicios;6,08
5;Alicante/Alacant;Adsubia;609;3;3;3;21;35;Servicios;5,75
6;Alicante/Alacant;Adsubia;609;2;2;3;20;28;Servicios;4,6
7;Alicante/Alacant;Adsubia;609;2;1;4;17;25;Servicios;4,11
8;Alicante/Alacant;Adsubia;609;2;1;4;15;23;Servicios;3,78
9;Alicante/Alacant;Adsubia;609;2;1;5;15;24;Servicios;3,94
10;Alicante/Alacant;Adsubia;609;3;1;6;17;28;Servicios;4,6
11;Alicante/Alacant;Adsubia;609;4;1;4;14;25;Servicios;4,11
12;Alicante/Alacant;Adsubia;609;4;0;4;11;19;Servicios;3,12
1;Alicante/Alacant;Agost;4906;82;58;47;248;472;Servicios;9,62
2;Alicante/Alacant;Agost;4906;90;56;44;253;481;Servicios;9,8
3;Alicante/Alacant;Agost;4906;84;54;43;247;468;Servicios;9,54
4;Alicante/Alacant;Agost;4906;77;56;46;237;457;Servicios;9,32
5;Alicante/Alacant;Agost;4906;79;55;46;233;452;Servicios;9,21
6;Alicante/Alacant;Agost;4906;79;52;47;225;445;Servicios;9,07
7;Alicante/Alacant;Agost;4906;75;52;48;217;433;Servicios;8,83
8;Alicante/Alacant;Agost;4906;74;59;48;230;459;Servicios;9,36
9;Alicante/Alacant;Agost;4906;65;60;49;220;439;Servicios;8,95
10;Alicante/Alacant;Agost;4906;64;57;45;217;424;Servicios;8,64
11;Alicante/Alacant;Agost;4906;61;54;44;207;403;Servicios;8,21
12;Alicante/Alacant;Agost;4906;62;59;41;199;393;Servicios;8,01
1;Alicante/Alacant;Agres;580;2;3;3;27;35;Servicios;6,03
2;Alicante/Alacant;Agres;580;3;3;3;28;37;Servicios;6,38
3;Alicante/Alacant;Agres;580;2;3;3;26;34;Servicios;5,86
4;Alicante/Alacant;Agres;580;3;4;3;27;37;Servicios;6,38
5;Alicante/Alacant;Agres;580;1;4;3;33;41;Servicios;7,07
6;Alicante/Alacant;Agres;580;1;4;2;29;36;Servicios;6,21
7;Alicante/Alacant;Agres;580;1;4;2;31;39;Servicios;6,72
8;Alicante/Alacant;Agres;580;1;4;2;32;40;Servicios;6,9
9;Alicante/Alacant;Agres;580;1;3;2;32;39;Servicios;6,72
10;Alicante/Alacant;Agres;580;1;4;2;26;34;Servicios;5,86
11;Alicante/Alacant;Agres;580;1;3;2;23;30;Servicios;5,17
12;Alicante/Alacant;Agres;580;1;4;3;23;31;Servicios;5,34
1;Alicante/Alacant;Aigües;1049;0;3;5;65;77;Servicios;7,34
2;Alicante/Alacant;Aigües;1049;0;3;4;64;75;Servicios;7,15
3;Alicante/Alacant;Aigües;1049;0;3;3;66;75;Servicios;7,15
4;Alicante/Alacant;Aigües;1049;0;3;4;67;77;Servicios;7,34
5;Alicante/Alacant;Aigües;1049;0;3;3;73;83;Servicios;7,91
6;Alicante/Alacant;Aigües;1049;0;3;4;78;90;Servicios;8,58
7;Alicante/Alacant;Aigües;1049;0;4;4;77;89;Servicios;8,48
8;Alicante/Alacant;Aigües;1049;0;4;3;73;84;Servicios;8,01
9;Alicante/Alacant;Aigües;1049;0;4;2;63;73;Servicios;6,96
10;Alicante/Alacant;Aigües;1049;0;4;3;61;72;Servicios;6,86
11;Alicante/Alacant;Aigües;1049;0;3;1;59;66;Servicios;6,29
12;Alicante/Alacant;Aigües;1049;0;3;1;56;63;Servicios;6,01
1;Alicante/Alacant;Albatera;12714;143;233;66;659;1216;Servicios;9,56
2;Alicante/Alacant;Albatera;12714;147;224;68;635;1183;Servicios;9,3
3;Alicante/Alacant;Albatera;12714;142;227;67;623;1166;Servicios;9,17
4;Alicante/Alacant;Albatera;12714;141;231;62;616;1159;Servicios;9,12
5;Alicante/Alacant;Albatera;12714;126;225;64;596;1116;Servicios;8,78
6;Alicante/Alacant;Albatera;12714;133;223;63;605;1124;Servicios;8,84
7;Alicante/Alacant;Albatera;12714;129;223;65;618;1138;Servicios;8,95
8;Alicante/Alacant;Albatera;12714;144;237;65;646;1196;Servicios;9,41
9;Alicante/Alacant;Albatera;12714;128;229;68;611;1140;Servicios;8,97
10;Alicante/Alacant;Albatera;12714;117;221;69;613;1124;Servicios;8,84
11;Alicante/Alacant;Albatera;12714;120;204;64;579;1062;Servicios;8,35
12;Alicante/Alacant;Albatera;12714;115;196;65;557;1011;Servicios;7,95
1;Alicante/Alacant;Alcalalí;1336;2;2;3;42;53;Servicios;3,97
2;Alicante/Alacant;Alcalalí;1336;2;2;3;45;56;Servicios;4,19
3;Alicante/Alacant;Alcalalí;1336;2;3;4;45;59;Servicios;4,42
4;Alicante/Alacant;Alcalalí;1336;2;3;3;47;61;Servicios;4,57
5;Alicante/Alacant;Alcalalí;1336;2;3;3;53;65;Servicios;4,87
6;Alicante/Alacant;Alcalalí;1336;2;2;4;48;61;Servicios;4,57
7;Alicante/Alacant;Alcalalí;1336;1;3;3;48;59;Servicios;4,42
8;Alicante/Alacant;Alcalalí;1336;1;3;3;49;60;Servicios;4,49
9;Alicante/Alacant;Alcalalí;1336;1;3;3;51;60;Servicios;4,49
10;Alicante/Alacant;Alcalalí;1336;1;2;3;51;59;Servicios;4,42
11;Alicante/Alacant;Alcalalí;1336;1;2;3;43;51;Servicios;3,82
12;Alicante/Alacant;Alcalalí;1336;1;2;3;36;44;Servicios;3,29
1;Alicante/Alacant;Alcocer de Planes;243;0;4;1;8;13;Servicios;5,35
2;Alicante/Alacant;Alcocer de Planes;243;0;3;1;9;13;Servicios;5,35
3;Alicante/Alacant;Alcocer de Planes;243;0;3;1;9;13;Servicios;5,35
4;Alicante/Alacant;Alcocer de Planes;243;0;3;1;10;14;Servicios;5,76
5;Alicante/Alacant;Alcocer de Planes;243;0;3;1;11;15;Servicios;6,17
6;Alicante/Alacant;Alcocer de Planes;243;0;4;1;11;16;Servicios;6,58
7;Alicante/Alacant;Alcocer de Planes;243;0;4;1;11;16;Servicios;6,58
8;Alicante/Alacant;Alcocer de Planes;243;0;3;1;10;14;Servicios;5,76
9;Alicante/Alacant;Alcocer de Planes;243;0;3;1;7;11;Servicios;4,53
10;Alicante/Alacant;Alcocer de Planes;243;0;2;1;10;13;Servicios;5,35
11;Alicante/Alacant;Alcocer de Planes;243;0;1;1;9;11;Servicios;4,53
12;Alicante/Alacant;Alcocer de Planes;243;0;1;2;9;12;Servicios;4,94
1;Alicante/Alacant;Alcoleja;181;0;0;3;11;14;Servicios;7,73
2;Alicante/Alacant;Alcoleja;181;0;0;3;10;13;Servicios;7,18
3;Alicante/Alacant;Alcoleja;181;0;0;3;9;12;Servicios;6,63
4;Alicante/Alacant;Alcoleja;181;0;0;2;11;13;Servicios;7,18
5;Alicante/Alacant;Alcoleja;181;0;0;3;18;21;Servicios;11,6
6;Alicante/Alacant;Alcoleja;181;0;0;3;18;21;Servicios;11,6
7;Alicante/Alacant;Alcoleja;181;0;0;3;16;19;Servicios;10,5
8;Alicante/Alacant;Alcoleja;181;0;0;3;17;20;Servicios;11,05
9;Alicante/Alacant;Alcoleja;181;0;0;2;18;20;Servicios;11,05
10;Alicante/Alacant;Alcoleja;181;0;0;1;14;15;Servicios;8,29
11;Alicante/Alacant;Alcoleja;181;0;0;2;12;14;Servicios;7,73
12;Alicante/Alacant;Alcoleja;181;0;1;3;14;18;Servicios;9,94
1;Alicante/Alacant;Alcoy/Alcoi;59128;162;1097;362;3683;5651;Servicios;9,56
2;Alicante/Alacant;Alcoy/Alcoi;59128;164;1116;365;3759;5747;Servicios;9,72
